Title,Author/s,Source Title,Year,Keywords
Automatic fish species classification using deep convolutional neural networks,"Iqbal, Muhammad Ather; Wang, Zhijie; Ali, Zain Anwar; Riaz, Shazia",Springer,2021,deep learning; fish classification; deep convolutional neural network; convolutional neural network; pattern recognition
Shark detection and classification with machine learning,"Jenrette, Jeremy; Liu, ZY-C; Chimote, Pranav; Hastie, Trevor; Fox, Edward; Ferretti, Francesco",Elsevier/ScienceDirect,2022,Data-mining; image classification; instagram; machine learning; remote monitoring; sharks
Temperate fish detection and classification: a deep learning based approach,"Knausgård, Kristian Muri; Wiklund, Arne; Sørdalen, Tonje Knutsen; Halvorsen, Kim Tallaksen; Kleiven, Alf Ring; Jiao, Lei; Goodwin, Morten",Springer,2022,biometric fish classification; temperate species; deep learning; object detection; convolutional neural network; underwater vídeo
Live Fish Species Classification in Underwater Images by Using Convolutional Neural Networks Based on Incremental Learning with Knowledge Distillation Loss,"Ben Tamou, Abdelouahid; Benzinou, Abdesslam; Nasreddine, Kamal",MDPI,2022,underwater image; fish recognition; deep learning; convolutional neural network; incremental learning; knowledge distillation loss
DAMNet: Dual attention mechanism deep neural network for underwater biological image classification,"Qu, Peixin; Li, Tengfei; Zhou, Ling; Jin, Songlin; Liang, Zheng; Zhao, Wenyi; Zhang, Weidong",IEEE,2022,underwater image; attention mechanism; neural networks; reverse residuals; optimization algorithms
Deep learning based deep-sea automatic image enhancement and animal species classification,"Lopez-Vazquez, Vanesa; Lopez-Guede, Jose Manuel; Chatzievangelou, Damianos; Aguzzi, Jacopo",Springer,2023,underwater image enhancement; deep learning; neural networkds; image classification
Re-identification of fish individuals of undulate skate via deep learning within a few-shot context,"Gómez-Vargas, Nuria; Alonso-Fernández, Alexandre; Blanquero, Rafael; Antelo, Luis T",Elsevier,2023,deep learning; few-shot learning; photo-identification; siamese networks
Targeted Data Augmentation and Hierarchical Classification with Deep Learning for Fish Species Identification in Underwater Images,"Ben Tamou, Abdelouahid; Benzinou, Abdesslam; Nasreddine, Kamal",MDPI,2022,underwater image; fish recognition; deep learning; convolutional neural network; hierarchical classification
Enhanced deep learning models for automatic fish species identification in underwater imagery,"Siri, D; Vellaturi, Gopikrishna; Ibrahim, Shaik Hussain Shaik; Molugu, Srikanth; Desanamukula, Venkata Subbaiah; Kocherla, Raviteja; Vatambeti, Ramesh",Cell Press,2024,Region-based fully convolutional network; unsharp mask filter; northen goshawk optimization; shufflenet; squeeze and excitation
Transferable Deep Learning Model for the Identification of Fish Species for Various Fishing Grounds,"Hasegawa, Tatsuhito; Kondo, Kei; Senou, Hiroshi",MDPI,2024, fish identification; deep learning; neural network; transfer learning
A Deep CNN-Based Salinity and Freshwater Fish Identification and Classification Using Deep Learning and Machine Learning,"Rahman, Wahidur; Rahman, Mohammad Motiur; Mozumder, Md Ariful Islam; Sumon, Rashadul Islam; Chelloug, Samia Allaoua; Alnashwan, Rana Othman; Muthanna, Mohammed Saleh Ali",MDPI,2024, fish classification; salinity fish; freshwater fish; convolutional neural network; classifiers; sustainability
Deep learning-based image classification of sea turtles using object detection and instance segmentation models,"Baek, Jong-Won; Kim, Jung-Il; Kim, Chang-Bae",PLOS ONE,2024,--
DeepSeaVision: Enhanced Detection and Classification of Underwater Species,"Reddy, G Joshita; Reddy, Keerthika; Athota, Sai Ruthvik; Narayanan, Swathi Jamjala; Perumal, Boominathan; Nayak, Gaurav Kumar",IEEE,2025,yolo; fish classification; image enhancement; species identification
Detection and multi-class classification of freshwater fish species using space-to-depth convolution and YOLOv11,"Kalpana, AV; Kumar, Upendra; P, Shylaja; KK, Sakkeena; Vinnarasi, F Sangeetha Francelin",Springer,2026,bilateral filtering; fish species detection and classification; object annotation; space-to-depth convolution; unsharp mask filtering; yolo; yolov11
