id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
189	"ouassine, younes"	-0.0383	0.4767	8	7	7	1
190	"p, shylaja"	-0.3127	0.0973	30	4	4	1
191	"pan, xiaoyong"	-0.1134	-0.1766	5	8	8	1
192	"park, jin-hyun"	-0.9656	-0.6218	51	1	1	1
193	"patton, philip t"	0.5232	-0.2252	3	9	9	1
194	"peng, yigang"	-0.9935	-0.1669	16	4	4	1
195	"perumal, boominathan"	0.1833	-0.3577	17	5	5	1
196	"pham, minh-tan"	0.3738	0.9795	37	3	3	1
197	"prados, ricard"	-0.7512	0.4696	9	7	7	1
198	"pudaruth, sameerchand"	1.3306	-0.1286	49	1	1	1
199	"purcell, cormac r"	-0.458	-0.8458	35	3	3	1
200	"qin, hongwei"	-0.9254	-0.1993	16	6	7	2
201	"qiu, chenchen"	0.217	-0.6714	24	5	5	1
202	"qu, peixin"	0.6187	0.1114	14	6	6	1
203	"quigley, brian m"	-0.035	-0.5459	15	6	6	1
204	"quintana, josep"	-0.7689	0.5085	9	7	7	1
205	"rahman, mohammad motiur"	-0.5126	-0.1042	11	6	6	1
206	"rahman, wahidur"	-0.4696	-0.1076	11	6	6	1
207	"reade, walter"	0.581	-0.1589	3	9	9	1
208	"reddy, g joshita"	0.1445	-0.3543	17	5	5	1
209	"reddy, keerthika"	0.1588	-0.3189	17	5	5	1
210	"regine, vignes lebbe"	-0.0405	0.5705	8	7	7	1
211	"riaz, shazia"	-0.7264	0.8079	36	3	3	1
212	"rivas, marga l"	0.1205	1.0615	26	4	4	1
213	"rosen, shale"	-0.7698	0.4321	9	7	7	1
214	"sahoo, sonalika"	0.8171	0.5743	28	4	4	1
215	"salman, ahmad"	-0.3155	-0.7004	29	4	4	1
216	"sanikommu, vasavi"	-0.3074	-1.0457	42	2	2	1
217	"santana maia, deise"	0.4	0.942	37	3	3	1
218	"schwacke, lori h"	-0.0716	-0.5687	15	6	6	1
219	"schönlieb, carola‐bibiane"	0.0551	-0.0158	1	9	9	1
220	"senou, hiroshi"	-0.8034	-0.4473	44	2	2	1
221	"shafait, faisal"	-0.312	-0.667	29	4	4	1
222	"shang, min"	-0.9108	-0.2595	16	3	3	1
223	"shen, hong-bin"	-0.217	-0.1802	5	8	8	1
224	"shortis, mark"	-0.2849	-0.7162	29	4	4	1
225	"siri, d"	-0.6198	0.1493	13	6	6	1
226	"sohel, ferdous"	0.7085	-0.6489	7	7	13	2
227	"southerland, ken"	0.6325	-0.2634	3	9	9	1
228	"speakman, todd r"	-0.1096	-0.5469	15	6	6	1
229	"subsol, gérard"	-0.287	0.4094	4	6	6	1
230	"sumon, rashadul islam"	-0.4431	-0.0729	11	6	6	1
231	"sun, chuanheng"	0.9315	-0.1144	6	7	7	1
232	"sun, qiaoqiao"	0.5919	0.7243	21	5	5	1
233	"sun, xudong"	0.8541	0.0231	6	5	5	1
234	"sun, yueping"	-0.6189	-0.3049	34	3	3	1
235	"sura, akshaya"	-0.3049	-1.017	42	2	2	1
236	"sørdalen, tonje knutsen"	0.5	0.4442	12	6	6	1
237	"tabik, siham"	0.1035	1.0085	26	4	4	1
238	"takagi, t"	-0.0187	-0.8812	2	9	9	1
239	"takehara, k"	0.0063	-0.8401	2	9	9	1
240	"talib, abdullah zawawi"	-0.1996	1.014	40	2	2	1
241	"tempelaar, alexander"	-0.8441	0.4507	9	7	7	1
242	"thompson, jaime w"	-0.073	-0.4816	15	6	6	1
243	"torisawa, s"	0.037	-0.8735	2	9	9	1
244	"torres, leigh g"	0.0788	0.0259	1	9	9	1
245	"uemura, tomoki"	0.3725	-0.4946	22	5	5	1
246	"vasudev, diksha"	0.8078	0.6273	28	4	4	1
247	"vatambeti, ramesh"	-0.6017	0.2235	13	6	6	1
248	"vellaturi, gopikrishna"	-0.5613	0.2137	13	6	6	1
249	"vigliola, laurent"	-0.4395	0.4309	4	6	6	1
250	"villon, sébastien"	-0.3751	0.3549	4	9	12	2
251	"villéger, sébastien"	-0.3396	0.3902	4	9	12	2
252	"vinnarasi, f sangeetha francelin"	-0.2961	0.0668	30	4	4	1
253	"virdee, mala k"	0.1132	-0.0828	1	9	9	1
254	"walsh, andrew j"	-0.5031	-0.8557	35	3	3	1
255	"wang, chao"	0.2067	-0.7085	24	5	5	1
256	"wang, chun-sheng"	-0.1707	-0.1723	5	8	8	1
257	"wang, dong"	0.4146	-0.5102	22	5	5	1
258	"wang, yizhong"	0.8852	-0.113	6	7	7	1
259	"wang, zhijie"	-0.713	0.7631	36	3	3	1
260	"wiklund, arne"	0.5387	0.4624	12	6	6	1
261	"wu, bilang"	-0.7404	-0.6679	38	3	3	1
262	"wu, hsin-te"	0.4967	-0.8423	27	4	4	1
263	"xu, kuidong"	-0.0605	0.2634	23	5	5	1
264	"xue, yongjie"	-1.2071	0.0617	50	1	1	1
265	"yagi, h"	0.0182	-0.9554	2	9	9	1
266	"yamaguchi, t"	0.0459	-0.9168	2	9	9	1
267	"yamaguchi, taiki"	0.6449	-0.216	3	9	9	1
268	"yang, chenghan"	-0.192	-0.1363	5	8	8	1
269	"yang, xinting"	0.8987	-0.0561	6	8	12	2
270	"yu, zhibin"	0.2489	-0.6929	24	5	5	1
271	"zahir, jihad"	-0.0716	0.502	8	7	7	1
272	"zero, victoria h"	-0.0361	-0.5034	15	6	6	1
273	"zhang, bozhi"	0.2039	0.3857	19	5	5	1
274	"zhang, changshui"	-0.9896	-0.2035	16	4	4	1
275	"zhang, dong-sheng"	-0.1636	-0.2483	5	8	8	1
276	"zhang, shaoyong"	0.2472	-0.6479	24	5	5	1
277	"zhang, shu-huan"	0.4628	-0.8418	27	4	4	1
278	"zhang, song"	0.9547	-0.0745	6	7	7	1
279	"zhang, weidong"	0.5444	0.1562	14	6	6	1
280	"zhang, yi-fan"	0.4809	-0.7889	27	4	4	1
281	"zhao, dean"	-0.6068	-0.3351	34	3	3	1
282	"zhao, feng"	-0.0252	0.2364	23	5	5	1
283	"zhao, wenyi"	0.5797	0.0904	14	6	6	1
284	"zhao, zhenxi"	0.8488	-0.0751	6	8	12	2
285	"zheng, bing"	0.1793	-0.6719	24	5	5	1
286	"zheng, haiyong"	0.2034	-0.6348	24	5	5	1
287	"zhou, chao"	0.9393	-0.023	6	8	12	2
288	"zhou, ling"	0.5815	0.1779	14	6	6	1
289	"zhou, peng"	-0.2041	-0.2234	5	8	8	1
290	"zhou, yuan"	-0.0972	0.2372	23	5	5	1
291	"zhou, zhinuo"	-0.1164	-0.2227	5	8	8	1
292	"zhu, jihua"	0.441	-0.4735	22	5	5	1
